pop_age,Comp_slope,num_cols,meanK,Fd_ln,input_var,disp_rsk,ad_dsp_fd,min_juv_fd,min_no_off,max_no_off,min_ad_sze_off,max_ad_sze_off,colony_ID,colony_age,num_adsB4_dispersal,num_ads,numjuvs,colony_food,ave_food,dispersers,pot_juv_fd,cal_med_rnk,colAlive,num_juvs_moulting,new_col?,adSz_B4_min,adSz_B4_max,adSz_B4_mean,adSz_B4_SD,adSz_B4_ct,adSz_AF_min,adSz_AF_max,adSz_AF_mean,adSz_AF_SD,adSz_AF_ct,jvSz_B4_min,jvSz_B4_max,jvSz_B4_mean,jvSz_B4_SD,jvSz_B4_ct,jvSz_AF_min,jvSz_AF_max,jvSz_AF_mean,jvSz_AF_SD,jvSz_AF_ct
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,1,1,1,1,3,1.1904162613440743,0.39680542044802475,0,0.26666666666666666,0.9999000000000551,alive,3,No,0.6,0.6,0.59999999999999998,0.0,1,NA,NA,NA,NA,NA,0.26349875378134346,0.53012542044803213,0.39680542044802475,0.1088,3,0.26349875378134346,0.5301254204480321,0.39680542044802475,0.1088,3
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,2,1,7,7,21,5.668457020871352,0.2699265248033977,0,0.29699026477625301,10.000199999999897,alive,15,No,0.6,0.6,0.59999999999999998,0.0,7,NA,NA,NA,NA,NA,0.079454143851014764,0.46040652480339572,0.2699303343272052,0.1153,21,0.19373985813672906,0.4604065248033957,0.32707319147006236,0.0823,15
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,3,1,14,14,42,12.676166329739965,0.30181348404142777,0,0.33390005826102193,20.500199999999897,alive,33,No,0.6,0.6,0.59999999999999987,0.0,14,NA,NA,NA,NA,NA,0.10657729356523631,0.4970534840414268,0.30181538880333153,0.1154,42,0.19229157927952203,0.4970534840414268,0.34467253166047457,0.0907,33
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,4,1,21,21,63,23.68810993150009,0.3760017449444459,0,0.37197331235339126,31.002300000000037,alive,61,No,0.6,0.6,0.59999999999999987,0.0,21,NA,NA,NA,NA,NA,0.17919095129365251,0.57284174494444617,0.3760163481190491,0.1155,63,0.19188936399206521,0.5728417449444462,0.38236555446825549,0.1118,61
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,5,1,28,28,84,37.83368723610297,0.4504010385250353,0,0.41060863212788506,41.495999999999896,alive,84,No,0.6,0.6,0.59999999999999987,0.0,28,NA,NA,NA,NA,NA,0.25276294328693955,0.64800103852503488,0.45038199090598707,0.1155,84,0.25276294328693955,0.6480010385250349,0.45038199090598707,0.1155,84
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,6,1,35,35,105,40.13459284631765,0.38223421758397763,0,0.44912308069799201,51.99599999999998,alive,103,No,0.6,0.6,0.6000000000000002,0.0,35,NA,NA,NA,NA,NA,0.18412374139350135,0.5803142175839775,0.38221897948873951,0.1155,105,0.19174278901254901,0.5803142175839775,0.38602850329826333,0.1133,103
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,7,1,42,42,126,68.70850330019543,0.5453055817475828,0,0.48676985968565578,62.49600000000004,alive,126,No,0.6,0.6,0.60000000000000042,0.0,42,NA,NA,NA,NA,NA,0.34688018492218609,0.74370558174758294,0.54529288333488479,0.1155,126,0.3468801849221861,0.7437055817475829,0.54529288333488479,0.1155,126
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,8,1,49,49,147,75.87940145147533,0.516186404431805,0,0.52276077152204725,73.00019999999984,alive,147,No,0.6,0.6,0.60000000000000053,0.0,49,NA,NA,NA,NA,NA,0.31754749286717865,0.71482640443180456,0.51618694864949166,0.1155,147,0.31754749286717865,0.7148264044318046,0.51618694864949166,0.1155,147
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,9,1,56,56,168,76.1613025073943,0.4533410863535375,0,0.55629263111511218,83.4959999999999,alive,168,No,0.6,0.6,0.60000000000000064,0.0,56,NA,NA,NA,NA,NA,0.25452203873448959,0.65214108635353718,0.45333156254401336,0.1155,168,0.2545220387344896,0.6521410863535372,0.45333156254401336,0.1155,168
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,10,1,63,63,189,125.94351546413041,0.6663678066885207,0,0.5865764595948183,94.00859999999994,alive,189,No,0.6,0.6,0.60000000000000075,0.0,63,NA,NA,NA,NA,NA,0.46744420880492271,0.8653278066885205,0.66638600774672185,0.1155,189,0.4674442088049227,0.8653278066885205,0.66638600774672185,0.1155,189
