poplt_age,comp_type,num cols,colony_ID,colony_age,number_spiders,min_size,max_size,min_age,max_age,colony_food
1,1,1,1,1,1,0.9393469340287367,0.9393469340287367,4,4,0.016401620963402211
2,1,2,1,2,3,0.96321205588285574,0.1,5,3,0.016401620963402211
2,1,2,2,1,1,0.97768698398515697,0.97768698398515697,6,6,0.016401620963402211
3,1,3,1,3,3,0.98646647167633872,0.099999999999999978,7,4,0.1210961604612041
3,1,3,2,2,1,0.99179150013761008,0.99179150013761008,8,8,0.016401620963402211
3,1,3,3,1,1,0.99502129316321364,0.99502129316321364,9,9,0.016401620963402211
4,1,4,1,4,3,0.99698026165776821,0.099999999999999978,10,5,0.1210961604612041
4,1,4,2,3,1,0.9981684361111266,0.9981684361111266,11,11,0.016401620963402211
4,1,4,3,2,1,0.99888910034617573,0.99888910034617573,12,12,0.016401620963402211
4,1,4,4,1,1,0.99932620530009142,0.99932620530009142,13,13,0.016401620963402211
5,1,6,1,5,5,0.9995913228561536,0.1,14,3,0.1210961604612041
5,1,6,2,4,1,0.99975212478233333,0.99975212478233333,15,15,0.016401620963402211
5,1,6,3,3,1,0.9998496560807022,0.9998496560807022,16,16,0.016401620963402211
5,1,6,4,2,1,0.99990881180344449,0.99990881180344449,17,17,0.016401620963402211
5,1,6,5,1,1,0.99994469156298516,0.99994469156298516,18,18,0.016401620963402211
5,1,6,6,1,1,0.87819824508704858,0.87819824508704858,7,7,0.016401620963402211
